1,0,vanilla ice cream,icecream,1
2,0,chocolate ice cream,icecream,2
3,0,strawberry ice cream,icecream,3
4,0,6-pack of paycheck pilsners,beer,4
5,0,seven fabergé easter eggs,eggs,5
6,0,painting - the storm on the sea of galilee,painting,6
"7","49","American whole magazine truth","Whose group through despite cause.","56"
"8","17","Peace economy","Work special total financial role together range.","78"
"9","60","Beyond its particularly tree whom","Kind miss artist truth trouble behavior style.","33"
"10","90","Ability management test during foot","Course nothing draw whose.","32"
"11","69","Before year themselves your","Board necessary religious natural sport music white.","48"
"12","77","Onto knowledge other his offer","Contain start almost wonder employee.","4"
"13","8","Quickly candidate","Type successful together type.","4"
"14","69","Study modern miss dog","Time operation wear often late.","75"
"15","84","Bank party main picture","Drug rule bring determine some.","73"
"16","42","Staff beyond chair recently","Stage plant view.","52"
"17","77","Ago play","Store build before street break painting create wife.","45"
"18","91","Look road article","Name per structure.","26"
"19","8","Author feeling job","Mean always beyond write.","10"
"20","25","Grow rule stuff","College pull whom around put suddenly garden.","45"
"21","32","Others kind company","Race tonight themselves true power home price.","41"
"22","19","Real leader bad school name","Drive well good explain.","71"
"23","45","Water plant perform resource hold","Stock ball organization recognize civil development.","95"
"24","57","Report purpose themselves all","Industry product another knowledge else citizen month.","55"
"25","62","Page a although for study","Speak themselves speech.","66"
"26","24","Yourself plan base rise would","Wear individual about add senior woman.","67"
"27","86","Partner couple part cup few","Beyond take however ball.","88"
"28","35","Son break either president","Boy child surface amount day employee.","59"
"29","40","Voice travel among see","Pretty Republican total policy head Mrs debate onto.","10"
"30","1","Character four smile","Full per among clearly.","63"
"31","74","Guess writer can","Long dream answer conference.","90"
"32","66","Few structure","Increase between training listen subject.","72"
"33","43","Look record interview","Friend reach choose coach north.","45"
"34","81","Assume be","Article account hour million large.","65"
"35","62","Research describe base detail yourself","Since issue grow ask tell reduce total later.","84"
"36","86","Budget huge debate","Young something perhaps.","90"
"37","13","Learn gun still","Writer work chance image.","51"
"38","87","There many true follow","Your play themselves myself use act relationship.","62"
"39","95","Stand along chance either","Success on responsibility southern.","75"
"40","8","Might trip","Different American address such.","91"
"41","42","Song than leave","Measure too maybe off question source.","43"
"42","97","Wrong section town deal movement","Individual win suddenly win parent do ten after.","11"
"43","0","Few now four","Teacher wall field impact special artist political.","96"
"44","16","Expert stop area","Loss cell three.","52"
"45","77","Purpose character","In partner hit another likely character.","83"
"46","4","Pay picture black near get","Situation since book art red pass.","98"
"47","43","Wide require fast","When hold family second.","15"
"48","87","Million size country","Know series lay smile away and.","71"
"49","5","Effort ago mind notice","Director simply those physical maybe.","58"
"50","67","Medical watch certainly through","Type very indeed between similar safe.","68"
"51","3","Issue indicate market ten","Reveal bad audience grow ahead girl.","56"
"52","1","Standard audience throw","About probably rule too security.","2"
"53","37","Ready usually do center","Both general where candidate whom gun list.","6"
"54","37","View when player","Or ball mouth film.","67"
"55","48","Watch source firm","Door contain head production technology.","91"
"56","76","Hour reduce","Inside nearly scientist central.","31"
"57","54","Pm be know","Pm more heavy across while top.","17"
"58","56","He weight before","Someone everybody newspaper read.","11"
"59","89","Up control instead company","Future model green place beat sense far.","80"
"60","89","Peace account fear shoulder","Feeling participant interest seem begin marriage which myself.","39"
"61","51","Place again establish","A huge three.","5"
"62","90","Know second government the","Other along society figure future.","71"
"63","67","Three seven attention","Executive care mission decision black.","50"
"64","81","Idea sing small factor head","Case but building husband life nice federal place.","5"
"65","95","Design major maybe manage","Know central many thought.","31"
"66","27","Green hospital","Suffer without rather.","57"
"67","10","According American per yourself","Road dinner seem explain black.","19"
"68","58","Himself former possible reach","Language remember model can.","55"
"69","23","Glass work interview man","Somebody keep daughter report town.","87"
